Pat Kirtley
Pat Martino
Pat Metheny 
Patrick Lachman 
Patrick Pentland 
Patrick Stump 
Patrick Walden 
Pat Smear 
Patti Smith
Pat Travers
Paul Allender 
Paul Arthurs 
Paul Atkinson 
Paul Banks 
Paul Barrere 
Paul Brett
Paul Caiafa 
Paul Collins 
Paul Colman 
Paul Dempsey 
Paul Dorrington
Paul Doucette 
Paul Gilbert 
Paul Hinojos 
Paulinho Nogueira
Paul Jackson, Jr.
Paul Kossoff 
Paul Kostabi 
Paul Landers 
Paul McCartney 
Paul Noonan 
Paul Reynolds 
Paul Ryan 
Paul Smith 
Paul Stanley 
Paul Tobias 
Paul Waaktaar-Savoy 
Paul Waggoner 
Paul Weller 
Pedro Javier González
Pepe Romero
Per Gessle 
Perry Bamonte 
Pete Banks 
Pete Carr
Pete Doherty 
Pete Drake
Pete Haycock 
Pete Loeffler 
Peter Asher 
Peter Beckett 
Peter Bernstein
Peter Buck 
Peter Dolving 
Peter Frampton 
Peter Green 
Peter Hammill 
Peter Hayes 
Peter Koppes 
Peter Lindgren 
Peter Svensson 
Peter Tork 
Peter White
Pete Shelley 
Pete Townshend 
Pete Willis 
Pete Yorn
Phil Campbell 
Phil Chevron 
Phil Collen 
Philip Catherine
Phil Jamieson 
Phil Keaggy
Phil Manzanera 
Philo Cramer 
Pier Gonella 
Pierre Bouvier 
Pierre Van Dormael
PJ Harvey
Popa Chubby
Preston Reed
Prince
Pye Hastings 
Qaasim Middleton 
Rabbi Shergill
Radomir Mihailović 
Rafael Riqueni
Raine Maida 
Ralph Patt
Ralph Towner 
Ramon Jacinto
Randall Bewley 
Randy Bachman 
Randy California 
Randy Holden
Randy Napoleon
Randy Rhoads 
Randy Travis
Randy VanWarmer
Raphael Rabello
Ray Davies 
Raymond East Bay Ray Pepperell 
Ray Reach
Ray Toro 
Reb Beach 
Red Rhodes
Red Symons 
Reverend Gary Davis
Rhys Chatham
Ricardo Garcia
Richard Fortus 
Richard Kruspe 
Richard Lloyd 
Richard Oakes 
Richard Palmer 
Richard Thompson 
Richie Edwards 
Richie Kotzen
Richie McDonald
Richie Sambora 
Rich Robinson 
Rich Ward 
Rich Williams 
Rick Derringer 
Rickey Lime 
Rick Foster
Rick Nielsen 
Rick Parfitt 
Rick Springfield
Ricky Nelson
Ric Ocasek 
Rik Emmett 
Rita Hosking
Ritchie Blackmore 
Ritchie Valens
River Phoenix 
Rivers Cuomo 
R. L. Burnside
Robben Ford
Robbie Robertson 
Robbin Crosby 
Robby Krieger 
Robert Bowlin
Robert Bucket Hingley 
Robert Cray
Robert Flynn 
Robert Fripp 
Robert Johnson
Robert Lockwood, Jr.
Roberto Diana
Roberto Iniesta 
Roberto Musci
Robert Quine 
Robert Roth 
Robert Schwartzman 
Robert Smith 
Robert Westerholt 
Robin Finck 
Robin Trower 
Robin Zander 
Rob Thomas 
Rocky George 
Rocky Gray 
Rocky Votolato 
Roddy Radiation Byers 
Rod Jones 
Rodney Sheppard 
Rod Stewart 
Roger C. Field
Roger Fisher 
Roger Hodgson 
Roger McGuinn 
Roger Miller 
Roger Scannura
Rogers Stevens 
Roger Waters 
Roland Bautista 
Roland Dyens
Roland Orzabal 
Roman Miroshnichenko
Ronald Radford
Ron Asheton 
Ron Block 
Ron Bumblefoot Thal 
Roni Benise
Ronnie Dunn 
Ronnie Earl
Ronnie Montrose 
Ronnie Wood 
Ron Strykert 
Roope Latvala 
Rory Gallagher
Rowan Robertson 
Roy Buchanan
Royce Campbell
Roy Clark
Roy Harper
Roy Orbison
Roy Rogers 
Roy Z 
Roy Zimmerman
Rudolf Schenker 
Rufus Wainwright
Russell Lissack 
Russell Malone
Russ Parrish 
Rusty Cooley 
Ruthie Morris 
Ruud Jolie 
Ryan Griffiths 
Ryan Key 
Ryan Ross 
Ryan Tedder 
Ry Cooder 
Ryland Blackinton 
Ryo Kawasaki
Ryo Owatari 
Sabicas
Salman Ahmad
Sam Cohen
Sami Lopakka 
Samoth 
Sam Prekop 
Sam Totman 
Sander Gommans 
Sarah McLachlan
Satchel 
Scott Fields
Scott Gorham 
Scott Henderson 
Scott Ian 
Scott Klopfenstein 
Scott Lucas 
Scott Shields 
Scotty Moore
Sead Lipovača 
Sean Costello
Sean Danielsen 
Sean Lennon
Sean Watkins 
Sébastien Lefebvre 
Sérgio Assad
Sergio Pizzorno 
Sergio Vallín 
Serj Tankian
Shane Gallagher 
Shane Lee 
Shannon Curfman
Shannon Hamm 
Sharon Isbin
Shaun Morgan 
Shawn Lane, 
Sheldon Reynolds 
Sherri DuPree 
Sheryl Crow
Sigurd Wongraven 
Silvio Rodríguez
Simon Neil 
Simon Tong 
Simon Townshend 
Sister Rosetta Tharpe
Skip James
Skwisgaar Skwigelf 
Slash 
Slim Whitman
Snowy White 
Son House
Sonny Mayo 
Søren Rasted 
Spencer James 
Spookey Ruben
Srđan Branković 
Stacy Jones 
Stanley Jordan
Stan Webb 
Stefan Grossman
